Departamento,Year,total_displacements
narino,2015,22
norte de santander,2015,8
putumayo,2015,22
quindio,2015,14
risaralda,2015,24
santander,2015,15
sucre,2015,3
tolima,2015,26
valle del cauca,2015,75
vaupes,2015,6
vichada,2015,4
<por asignar>,2015,75
amazonas,2016,0
antioquia,2016,74
arauca,2016,9
archipielago de san andres. providencia y santa catalina,2016,0
atlantico,2016,4
bogota d.c.,2016,41
bolivar,2016,6
boyaca,2016,5
caldas,2016,7
caqueta,2016,61
casanare,2016,5
cauca,2016,21
cesar,2016,14
choco,2016,29
cordoba,2016,4
cundinamarca,2016,21
guainia,2016,3
guaviare,2016,10
huila,2016,23
guajira,2016,5
magdalena,2016,4
meta,2016,103
narino,2016,20
norte de santander,2016,21
putumayo,2016,13
quindio,2016,8
risaralda,2016,19
santander,2016,18
sucre,2016,1
tolima,2016,14
valle del cauca,2016,64
vaupes,2016,9
vichada,2016,2
<por asignar>,2016,91
amazonas,2017,1
antioquia,2017,68
arauca,2017,10
archipielago de san andres. providencia y santa catalina,2017,0
atlantico,2017,0
bogota d.c.,2017,48
bolivar,2017,9
boyaca,2017,11
caldas,2017,6
caqueta,2017,47
casanare,2017,8
cauca,2017,29
cesar,2017,11
choco,2017,41
cordoba,2017,4
cundinamarca,2017,31
guainia,2017,0
guaviare,2017,34
huila,2017,26
guajira,2017,6
magdalena,2017,2
meta,2017,110
narino,2017,102
norte de santander,2017,16
putumayo,2017,16
quindio,2017,12
risaralda,2017,16
santander,2017,8
sucre,2017,3
tolima,2017,17
valle del cauca,2017,67
vaupes,2017,5
vichada,2017,7
<por asignar>,2017,100
amazonas,2018,0
antioquia,2018,43
arauca,2018,12
archipielago de san andres. providencia y santa catalina,2018,0
atlantico,2018,0
bogota d.c.,2018,45
bolivar,2018,9
boyaca,2018,5
caldas,2018,3
caqueta,2018,7
casanare,2018,7
cauca,2018,10
cesar,2018,11
choco,2018,17
cordoba,2018,4
cundinamarca,2018,13
guainia,2018,0
guaviare,2018,4
huila,2018,6
guajira,2018,4
magdalena,2018,2
meta,2018,22
narino,2018,15
norte de santander,2018,15
putumayo,2018,8
quindio,2018,2
risaralda,2018,14
santander,2018,13
sucre,2018,1
tolima,2018,8
valle del cauca,2018,35
vaupes,2018,0
vichada,2018,0
<por asignar>,2018,80
amazonas,2019,0
antioquia,2019,25
arauca,2019,4
archipielago de san andres. providencia y santa catalina,2019,0
atlantico,2019,0
bogota d.c.,2019,9
bolivar,2019,5
boyaca,2019,1
caldas,2019,0
caqueta,2019,0
casanare,2019,1
cauca,2019,6
cesar,2019,7
choco,2019,4
cordoba,2019,0
cundinamarca,2019,7
guainia,2019,0
guaviare,2019,1
huila,2019,0
guajira,2019,1
magdalena,2019,1
meta,2019,2
narino,2019,3
norte de santander,2019,13
putumayo,2019,0
quindio,2019,2
risaralda,2019,1
santander,2019,11
sucre,2019,1
tolima,2019,2
valle del cauca,2019,14
vaupes,2019,0
vichada,2019,0
<por asignar>,2019,19
